church	כנסיה	noun, place, religion, (f)
cinema	קולנוע	noun, place, (m)
city	עיר	noun, place, (f)
district	מחוז	noun, place, (m)
old city	עיר עתיקה	noun, place, (f)
horizon	אופק	noun, place, (m)
hospital	בית חולים	noun, place, (m)
market	כיכר	noun, place, (m)
neighborhood	שכונה	noun, place, (f)
neighbourhood	שכונה	noun, place, (f)
path	שביל	noun, place, (m)
place	מקום	noun, place, abstract, (m)
school	בית ספר	noun, place, (m)
side	צד	noun, place, abstract, (m)
street	רחוב	noun, place, (m)
synagogue	בית כנסת	noun, place, religion, (m)
town	עיר	noun, place, (f)
village	כפר	noun, place, (m)
world	עולם	noun, place, (m)
way	דרך	noun, place, (f)
